water_temperature(C), air_temperature(C)
26,23.01
26,24.87
27,27.66
26,29.15
29,30.48
27,28.91
26,28.26
28,28.31
24,28.06
27,27.91
25,25.34
25,24.19
27,23.65
27,26.29
27,28.1
28,29.86
25,30.39
28,28.94
26,28.15
27,28.34
26,28.14
28,27.31
28,24.44
27,23.01
27,23.15
27,25.21
26,27.49
28,29.12
29,30.23
28,29.31
28,28.23
28,28.26
28,28.33
28,27.55
28,24.94
28,22.33
28,21.96
28,24.76
28,27.9
30,28.97
30,29.44
28,29.45
28,28.23
26,28.06
28,28.03
28,27.36
25,25.55
25,22.87
26,22.12
28,24.84
32,27.9
30,29.62
33,29.5
30,29.35
28,28.56
28,27.98
20,27.69
30,27.35
29,25.18
29,22.68
24,22.48
26,24.35
27,27.42
32,29.44
28,30.08
28,29.12
29,28.57
27,28.23
29,28.53
29,27.69
27,25.5
24,22.98
25,24.37
25,24.98
26,28.23
32,29.36
31,30.36
32,29.62
32,28.55
26,28.47
24,28.06
28,27.85
26,25.65
24,23.08
24,22.31
28,24.29
28,27.84
28,29.26
26,29.86
27,29.01
25,28.31
27,28.26
24,28.15
22,27
27,24.55
28,23.87
